State,Interpolation_T_K,Root_T_K,Difference_K
1,300,300,0
2,319.779698431379,319.779707800691,-9.36931144224218e-06
3,591.578431864368,591.578727161091,-0.000295296722697458
4,1082.4641589486,1082.46441131622,-0.000252367625535044
5,848.868175826661,848.868189041709,-1.32150487388571e-05
6,580.542142933245,580.541697903185,0.000445030060518548
