State,Location,Mixture,T_K,P_kPa,v_m_s,h_kJ_kg,s_mix_kJ_kgK,s_model_kJ_kgK,mdot_kg_s
1,Inlet,Air,300,100,200,1.9076239789355,6.8952965345361,6.74717768270373,118.5636
2,Diffuser outlet,Air,319.779698431379,125.108889752752,0,21.9076144952083,6.89529735596492,6.74717768270373,118.5636
3,Compressor outlet,Air,591.578431864368,1125.98000777477,0,302.278446171051,6.89529685870882,6.74717768270373,118.5636
4,Combustor outlet,Products,1082.4641589486,1125.98000777477,0,300.806934580639,7.83299724320708,7.62851304801677,119.1436
5,Turbine outlet,Products,848.868175826661,423.742700222643,0,21.8009606421596,7.83299720968616,7.62851304801677,119.1436
6,Nozzle exit,Products,580.542142933245,100,778.827595420335,-281.485263247998,7.83299749158497,7.62851304801677,119.1436
