Component,EtaSpecified,EtaReconstructed,ActualOutlet_K,IdealOutlet_K,DeltaS_J_kgK
Compressor,1,1,591.578431864368,591.578431864368,-0.000497256091875897
Turbine,1,1,848.868175826661,848.868175826661,-3.35209178956575e-05
Nozzle,1,1,580.542142933245,580.542142933245,0.000281898815956083
