Setting,Value,Status
eta_c,1,PROVISIONAL default - confirm against Canvas/Turns
eta_t,1,PROVISIONAL default - confirm against Canvas/Turns
eta_n,1,PROVISIONAL default - confirm against Canvas/Turns
Tfuel_K,298.15,PROVISIONAL default - confirm against Canvas/Turns
P4overP3,1,PROVISIONAL default - confirm against Canvas/Turns
Qloss_W,0,PROVISIONAL default - confirm against Canvas/Turns
shaft_efficiency,1,PROVISIONAL default - confirm against Canvas/Turns
v2_v3_v4_v5_m_s,0,PROVISIONAL default - confirm against Canvas/Turns
